Method,T,N_points,Variable,Calculated,Analytical,Abs_Error,Rel_Error_%
Recurrent,1.0000000e-01,350,|v|,1.7842461e-01,1.7841241e-01,1.2198743e-05,6.8373847e-03
Recurrent,1.0000000e-01,350,v^2,4.9999997e-02,5.0000001e-02,3.7252903e-09,7.4505805e-06
Close,1.0000000e-01,350,|v|,1.7842463e-01,1.7841241e-01,1.2213644e-05,6.8457368e-03
Close,1.0000000e-01,350,v^2,5.0000001e-02,5.0000001e-02,0.0000000e+00,0.0000000e+00
Kahan,1.0000000e-01,350,|v|,1.7842463e-01,1.7841241e-01,1.2213644e-05,6.8457368e-03
Kahan,1.0000000e-01,350,v^2,5.0000001e-02,5.0000001e-02,0.0000000e+00,0.0000000e+00
FMA,1.0000000e-01,350,|v|,1.7842463e-01,1.7841241e-01,1.2213644e-05,6.8457368e-03
FMA,1.0000000e-01,350,v^2,5.0000001e-02,5.0000001e-02,0.0000000e+00,0.0000000e+00
Double,1.0000000e-01,350,|v|,1.7842462e-01,1.7841241e-01,1.2211161e-05,6.8443449e-03
Double,1.0000000e-01,350,v^2,5.0000000e-02,5.0000001e-02,2.6058552e-10,5.2117103e-07
Recurrent,1.0000000e+00,350,|v|,5.6422818e-01,5.6418958e-01,3.8593523e-05,6.8405238e-03
Recurrent,1.0000000e+00,350,v^2,5.0000000e-01,5.0000000e-01,0.0000000e+00,0.0000000e+00
Close,1.0000000e+00,350,|v|,5.6422824e-01,5.6418958e-01,3.8653128e-05,6.8510885e-03
Close,1.0000000e+00,350,v^2,5.0000000e-01,5.0000000e-01,0.0000000e+00,0.0000000e+00
Kahan,1.0000000e+00,350,|v|,5.6422824e-01,5.6418958e-01,3.8653128e-05,6.8510885e-03
Kahan,1.0000000e+00,350,v^2,5.0000000e-01,5.0000000e-01,0.0000000e+00,0.0000000e+00
FMA,1.0000000e+00,350,|v|,5.6422824e-01,5.6418958e-01,3.8653128e-05,6.8510885e-03
FMA,1.0000000e+00,350,v^2,5.0000000e-01,5.0000000e-01,0.0000000e+00,0.0000000e+00
Double,1.0000000e+00,350,|v|,5.6422822e-01,5.6418958e-01,3.8633558e-05,6.8476199e-03
Double,1.0000000e+00,350,v^2,5.0000001e-01,5.0000000e-01,5.7569461e-09,1.1513892e-06
Recurrent,1.0000000e+02,350,|v|,5.6422815e+00,5.6418958e+00,3.8569681e-04,6.8362980e-03
Recurrent,1.0000000e+02,350,v^2,5.0000000e+01,5.0000000e+01,0.0000000e+00,0.0000000e+00
Close,1.0000000e+02,350,|v|,5.6422825e+00,5.6418958e+00,3.8665048e-04,6.8532014e-03
Close,1.0000000e+02,350,v^2,4.9999996e+01,5.0000000e+01,3.8146973e-06,7.6293945e-06
Kahan,1.0000000e+02,350,|v|,5.6422815e+00,5.6418958e+00,3.8569681e-04,6.8362980e-03
Kahan,1.0000000e+02,350,v^2,4.9999996e+01,5.0000000e+01,3.8146973e-06,7.6293945e-06
FMA,1.0000000e+02,350,|v|,5.6422815e+00,5.6418958e+00,3.8569681e-04,6.8362980e-03
FMA,1.0000000e+02,350,v^2,4.9999996e+01,5.0000000e+01,3.8146973e-06,7.6293945e-06
Double,1.0000000e+02,350,|v|,5.6422817e+00,5.6418958e+00,3.8586162e-04,6.8392191e-03
Double,1.0000000e+02,350,v^2,4.9999998e+01,5.0000000e+01,2.4566253e-06,4.9132506e-06
Recurrent,1.0000000e+04,350,|v|,5.6422821e+01,5.6418958e+01,3.8626901e-03,6.8464400e-03
Recurrent,1.0000000e+04,350,v^2,5.0000000e+03,5.0000000e+03,0.0000000e+00,0.0000000e+00
Close,1.0000000e+04,350,|v|,5.6422817e+01,5.6418958e+01,3.8588754e-03,6.8396786e-03
Close,1.0000000e+04,350,v^2,4.9999995e+03,5.0000000e+03,4.8828125e-04,9.7656250e-06
Kahan,1.0000000e+04,350,|v|,5.6422817e+01,5.6418958e+01,3.8588754e-03,6.8396786e-03
Kahan,1.0000000e+04,350,v^2,5.0000000e+03,5.0000000e+03,0.0000000e+00,0.0000000e+00
FMA,1.0000000e+04,350,|v|,5.6422817e+01,5.6418958e+01,3.8588754e-03,6.8396786e-03
FMA,1.0000000e+04,350,v^2,5.0000000e+03,5.0000000e+03,0.0000000e+00,0.0000000e+00
Double,1.0000000e+04,350,|v|,5.6422819e+01,5.6418958e+01,3.8603437e-03,6.8422811e-03
Double,1.0000000e+04,350,v^2,4.9999999e+03,5.0000000e+03,1.0328723e-04,2.0657445e-06
Recurrent,1.0000000e+00,10,|v|,6.4303905e-01,5.6418958e-01,7.8849464e-02,1.3975704e+01
Recurrent,1.0000000e+00,10,v^2,5.0505650e-01,5.0000000e-01,5.0565004e-03,1.0113001e+00
